Dataset,Feature,Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1
pyarabic punctuation only preprocessed,BERT,LinearSVM,0.7614770459081837,0.7457049439951674,0.7457221170599558,0.7419218572585259,0.7616813320439991
pyarabic punctuation only preprocessed,BERT,XGBoost,0.7854291417165669,0.7879961492540402,0.7023387404924573,0.7348251955174192,0.7837110901052738
pyarabic punctuation only preprocessed,GPT,LinearSVM,0.7255489021956087,0.7120486254031884,0.6913857262770987,0.696880251461751,0.7245153356799094
pyarabic punctuation only preprocessed,GPT,XGBoost,0.7375249500998003,0.7693846173662604,0.5962836466662608,0.6432412838443798,0.7328007093764269
pyarabic tashkeel tatweel preprocessed,BoW,MultinomialNB,0.6686626746506986,0.6779550140304752,0.5074098528002414,0.5393377006098136,0.6605781906989261
pyarabic tashkeel tatweel preprocessed,BoW,LinearSVM,0.7155688622754491,0.6940631487251835,0.6511307390282288,0.6630282260927454,0.7146365725590426
pyarabic tashkeel tatweel preprocessed,BoW,XGBoost,0.6646706586826348,0.6341700650498627,0.5672016519158466,0.5892374242975943,0.6628570972718285
pyarabic tashkeel tatweel preprocessed,TF-IDF,MultinomialNB,0.6237524950099801,0.4562560384621514,0.36939453991949167,0.3790244522037394,0.6000737193281401
pyarabic tashkeel tatweel preprocessed,TF-IDF,LinearSVM,0.7395209580838323,0.7236498768905878,0.6472659727047533,0.676856802840339,0.738305478545188
pyarabic tashkeel tatweel preprocessed,TF-IDF,XGBoost,0.6576846307385229,0.6306626182884716,0.5528321910812466,0.5822510521763559,0.6565608171897337
pyarabic tashkeel tatweel preprocessed,Word2Vec-SG,LinearSVM,0.2934131736526946,0.1913182536896094,0.1709175382706702,0.16059074515103286,0.25897104228112056
pyarabic tashkeel tatweel preprocessed,Word2Vec-SG,XGBoost,0.4101796407185629,0.389952837841962,0.3147477968091222,0.33040961098392996,0.400560779855518
pyarabic tashkeel tatweel preprocessed,Word2Vec-CBOW,LinearSVM,0.22854291417165667,0.1414979625630164,0.10803150455516747,0.09607457983255344,0.1799049873102871
